ID,Gender,Age,Weight,,,Height,BMI,Calories,Exercise,Workout,Meal Type,Diet
1,F,20,64,2.6244,1.62,162,24.3865,1760,Sedentary,Light Exercise,V,Balanced Diet
2,M,20,67,2.56,1.6,160,26.171875,2200,Very Active,High intensity Exercise,NV,Energy boost diet
3,M,35,85,3.24,1.8,180,26.2346,3000,Sedentary,Moderate Exercise,V,Light Activity Fuel
4,M,28,65,2.7225,1.65,165,23.87511478,2200,Sedentary,Light Exercise,V,Balanced Diet
5,F,40,75,2.89,1.7,170,25.9516,2000,Very Active,Sedentary Lifestyle,NV,Balanced Diet
6,F,22,60,2.4025,1.55,155,24.97398543,2600,Lightly Active,Sedentary Lifestyle,NV,Fitness Diet
7,F,32,78,3.1684,1.78,178,24.6181,2400,Moderate,Light Exercise,NV,Balanced Diet
8,F,27,63,2.6244,1.62,162,24.00548697,1900,Very Active,Sedentary Lifestyle,V,Balanced Diet
9,F,38,90,3.4225,1.85,185,26.2966,3100,Super Active,Sedentary Lifestyle,NV,Balanced Diet
10,F,24,58,2.4964,1.58,158,23.23345618,2100,Moderate,Sedentary Lifestyle,V,Balanced Diet
11,M,29,80,3.0976,1.76,176,25.8264,2200,Sedentary,High intensity Exercise,NV,Energy boost diet
12,F,31,67,2.7889,1.67,167,24.02380867,2700,Moderate,Light Exercise,V,Fitness Diet
13,M,26,72,3.3124,1.82,182,21.7365,2300,Very Active,Sedentary Lifestyle,V,Balanced Diet
14,F,33,68,2.56,1.6,160,26.5625,1900,Very Active,Sedentary Lifestyle,V,Balanced Diet
15,F,23,77,3.1684,1.78,178,24.3025,2800,Lightly Active,Moderate Exercise,V,Light Activity Fuel
16,M,28,62,2.7225,1.65,165,22.77318641,2100,Lightly Active,Sedentary Lifestyle,NV,Balanced Diet
17,M,36,88,3.3856,1.84,184,25.9924,2000,Moderate,Light Exercise,NV,Light Activity Fuel
18,M,25,57,2.4025,1.55,155,23.72528616,2400,Sedentary,Moderate Exercise,V,Fitness Diet
19,F,39,82,3.1329,1.77,177,26.1738,1900,Lightly Active,High intensity Exercise,NV, Fitness  Diet
20,M,26,66,2.6569,1.63,163,24.84098009,2000,Moderate,Sedentary Lifestyle,NV,Balanced Diet
21,F,34,85,3.2761,1.81,181,25.9455,3000,Very Active,Moderate Exercise,NV,Fitness Diet
22,F,29,61,2.5281,1.59,159,24.12879237,2200,Super Active,Light Exercise,V,Balanced Diet
23,M,37,87,3.3489,1.83,183,25.9787,2100,Super Active,High intensity Exercise,NV, Fitness  Diet
24,F,24,59,2.4649,1.57,157,23.93606231,2600,Very Active,Light Exercise,V,Light Activity Fuel
25,M,30,79,3.2041,1.79,179,24.6559,2300,Moderate,Light Exercise,NV,Fitness Diet
26,M,27,64,2.7556,1.66,166,23.22543185,2000,Sedentary,Moderate Exercise,NV,Energy boost diet
27,M,35,86,3.24,1.8,180,26.5432,3100,Lightly Active,Moderate Exercise,V,Fitness Diet
28,F,22,56,2.5921,1.61,161,21.60410478,2000,Lightly Active,Sedentary Lifestyle,V,Balanced Diet
29,F,31,81,3.0625,1.75,175,26.449,2200,Moderate,Light Exercise,NV,Balanced Diet
30,M,21,63,2.8224,1.68,168,22.32142857,2700,Very Active,Moderate Exercise,NV,Energy boost diet
